:addin:             -> adding
:adn:               -> and
:aganist            -> against
:agian              -> again
:agin               -> again
:agre:              -> agree
:alege              -> allege
:alot:              -> a lot
:andteh             -> and the
:andthe             -> and the
:anual              -> annual
:asign              -> assign
:aslo:              -> also
:asthe              -> as the
:atthe              -> at the
:bouyant            -> buoyant
:boyant             -> buoyant
:choses             -> chooses
:dum:               -> dumb
:efel               -> evil
:eiter              -> either
:emnity             -> enmity
:eratic             -> erratic
:esle               -> else
:expell:            -> expel
:eyar               -> year
:florescent         -> fluorescent
:flourescent        -> fluorescent
:ganes              -> games
:grammer            -> grammar
:gt:                -> git
:guage              -> gauge
:haev               -> have
:halp:              -> help
:hapen              -> happen
:hten:              -> then
:htere              -> there
:hting              -> thing
:inot:              -> into
:iwll               -> will
:iwth               -> with
:lastr:             -> last
:layed              -> laid
:leage              -> league
:leran              -> learn
:loev               -> love
:lsat               -> last
:lveo               -> love
:lvoe               -> love
:milion             -> million
:nto:               -> not
:ocuntry            -> country
:ocur               -> occur
:olther             -> other
:ommitted           -> omitted
:ommitting          -> omitting
:onyl:              -> only
:oponent            -> opponent
:opose              -> oppose
:oposition          -> opposition
:orded              -> ordered
:otehr              -> other
:owrk               -> work
:pased              -> passed
:peice              -> piece
:peom:              -> poem
:persan:            -> person
:planation          -> plantation
:poulation          -> population
:puting             -> putting
:quitted            -> quit
:repid              -> rapid
:rference           -> reference
:scoll:             -> scroll
:sieze              -> seize
:smae:              -> same
:smoe:              -> some
:socre              -> score
:soem:              -> some
:sohw:              -> show
:sourth:            -> south
:soverign:          -> sovereign
:stpo:              -> stop
:strat:             -> start
:stroy:             -> story
:sttaus:            -> status
:suop:              -> soup
:syas:              -> says
:symetric           -> symmetric
:szie               -> size
:tast:              -> taste
:tath:              -> that
:teh:               -> the
:tehy:              -> they
:tghe:              -> the
:th:                -> the
:the:the:           -> the
:theri:             -> their
:thier              -> their
:thn:               -> then
:thna:              -> than
:thne:              -> then
:throught           -> thought
:thru:              -> through
:thsi:              -> this
:thta:              -> that
:tiem:              -> time
:tihs:              -> this
:tje:               -> the
:tjhe:              -> the
:tkae:              -> take
:tothe              -> to the
:ture               -> true
:turth              -> truth
:tust:              -> trust
:tution:            -> tuition
:twon               -> town
:twpo               -> two
:tyhe               -> they
:ues:               -> use
:uesd:              -> used
:uise               -> use
:undre:             -> under
:usally             -> usually
:veyr:              -> very
:villian            -> villain
:villin:            -> villain
:vyer:              -> very
:vyre:              -> very
:waht:              -> what
:wrok:              -> work
:wtih:              -> with
:yaer               -> year
:yera               -> year
:yrea               -> year
:ytou:              -> you
:yuo:               -> you
abandonned          -> abandoned
abbout              -> about
aberation           -> aberration
abilityes           -> abilities
abilties            -> abilities
abilty              -> ability
abondon             -> abandon
aborigene           -> aborigine
abortificant        -> abortifacient
abotu               -> about
abouta              -> about a
aboutit             -> about it
aboutthe            -> about the
abreviate:          -> abbreviate
abreviation         -> abbreviation
abritrary           -> arbitrary
absail              -> abseil
abscence            -> absence
absense             -> absence
absolutly           -> absolutely
absorbsion          -> absorption
absorbtion          -> absorption
abudance            -> abundance
abundacies          -> abundances
abundancies         -> abundances
abundunt            -> abundant
abutts              -> abuts
abvove              -> above
acadamy             -> academy
acadmic             -> academic
accademic           -> academic
accademy            -> academy
acccused            -> accused
accelleration       -> acceleration
acceptence          -> acceptance
acceptible          -> acceptable
accesories          -> accessories
accessable          -> accessible
accidant:           -> accident
accidentaly         -> accidentally
accidently          -> accidentally
acclimitization     -> acclimatization
accomadate          -> accommodate
accomadating        -> accommodating
accomadation        -> accommodation
accomdate           -> accommodate
accomodate          -> accommodate
accomodating        -> accommodating
accomodation        -> accommodation
accompanyed         -> accompanied
accordeon           -> accordion
accordian           -> accordion
accoring            -> according
accoustic           -> acoustic
accquainted         -> acquainted
accrediation        -> accreditation
accredidation       -> accreditation
accross             -> across
accussed            -> accused
acedemic            -> academic
acheiv              -> achieve
achievment          -> achievement
achivement          -> achievement
acident             -> accident
acknowldeged        -> acknowledged
acknowledgeing      -> acknowledging
acommodate          -> accommodate
acomplish           -> accomplish
acording            -> according
acquaintence        -> acquaintance
acquiantence        -> acquaintance
acquited            -> acquitted
activites           -> activities
activly             -> actively
actoin              -> action
actualy             -> actually
actviate            -> activate
acuracy             -> accuracy
acurate             -> accurate
acused              -> accused
acustom             -> accustom
acutally            -> actually
adavanced           -> advanced
adbandon            -> abandon
addional            -> additional
additinally         -> additionally
additionaly         -> additionally
additonal           -> additional
addmission          -> admission
addopt              -> adopt
addres:             -> address
